dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.200000,8.994000,0.000297,0.029734,1.486681,74.334073,6.281166
0.020000,9.200000,8.994000,0.001487,0.089201,2.973363,74.334073,6.281411
0.020000,9.200000,8.994000,0.004163,0.178402,4.460044,74.334073,6.281961
0.020000,9.200000,8.994000,0.008920,0.297336,5.946726,74.334073,6.282940
0.020000,9.206242,8.994004,0.016353,0.446004,7.433407,74.334073,0.001284
0.020000,9.216946,8.994030,0.027058,0.624406,8.920089,74.334073,0.003487
0.020000,9.231217,8.994100,0.041330,0.802808,8.920089,0.000000,0.006426
0.020000,9.249057,8.994248,0.059170,0.981210,8.920089,0.000000,0.010102
0.020000,9.270463,8.994511,0.080578,1.159612,8.920089,-0.000000,0.014518
0.020000,9.295436,8.994938,0.105554,1.338013,8.920089,-0.000000,0.019674
0.020000,9.323973,8.995584,0.134099,1.516415,8.920089,0.000000,0.025571
0.020000,9.356072,8.996511,0.166211,1.694817,8.920089,0.000000,0.032211
0.020000,9.391729,8.997792,0.201891,1.873219,8.920089,0.000000,0.039593
0.020000,9.430939,8.999505,0.241140,2.051620,8.920089,-0.000000,0.047718
0.020000,9.473698,9.001737,0.283956,2.230022,8.920089,0.000000,0.056583
0.020000,9.519994,9.004582,0.330341,2.408424,8.920089,0.000000,0.066186
0.020000,9.569820,9.008144,0.380293,2.586826,8.920089,-0.000000,0.076521
0.020000,9.623160,9.012530,0.433814,2.765228,8.920089,0.000000,0.087580
0.020000,9.679999,9.017858,0.490902,2.943629,8.920089,-0.000000,0.099354
0.020000,9.740317,9.024252,0.551559,3.122031,8.920089,0.000000,0.111830
0.020000,9.804092,9.031839,0.615783,3.300433,8.920089,0.000000,0.124991
0.020000,9.871295,9.040755,0.683576,3.478835,8.920089,-0.000000,0.138815
0.020000,9.941895,9.051141,0.754937,3.657236,8.920089,-0.000000,0.153279
0.020000,10.015856,9.063139,0.829866,3.835638,8.920089,0.000000,0.168352
0.020000,10.093137,9.076898,0.908362,4.014040,8.920089,-0.000000,0.183999
0.020000,10.173691,9.092566,0.990427,4.192442,8.920089,0.000000,0.200179
0.020000,10.257468,9.110294,1.076060,4.370844,8.920089,0.000000,0.216846
0.020000,10.344411,9.130232,1.165261,4.549245,8.920089,0.000000,0.233949
0.020000,10.434459,9.152527,1.258030,4.727647,8.920089,-0.000000,0.251430
0.020000,10.527548,9.177327,1.354367,4.906049,8.920089,0.000000,0.269225
0.020000,10.623608,9.204771,1.454272,5.084451,8.920089,0.000000,0.287267
0.020000,10.722567,9.234994,1.557745,5.262852,8.920089,0.000000,0.305482
0.020000,10.824351,9.268124,1.664786,5.441254,8.920089,0.000000,0.323792
0.020000,10.928882,9.304280,1.775395,5.619656,8.920089,0.000000,0.342116
0.020000,11.036084,9.343570,1.889572,5.798058,8.920089,0.000000,0.360371
0.020000,11.145882,9.386091,2.007317,5.976460,8.920089,-0.000000,0.378469
0.020000,11.258201,9.431928,2.128631,6.154861,8.920089,0.000000,0.396324
0.020000,11.372970,9.481151,2.253512,6.333263,8.920089,0.000000,0.413847
0.020000,11.490124,9.533817,2.381961,6.511665,8.920089,-0.000000,0.430950
0.020000,11.609603,9.589968,2.513978,6.690067,8.920089,0.000000,0.447546
0.020000,11.731355,9.649630,2.649564,6.868468,8.920089,-0.000000,0.463550
0.020000,11.855336,9.712812,2.788717,7.046870,8.920089,0.000000,0.478878
0.020000,11.981513,9.779508,2.931439,7.225272,8.920089,0.000000,0.493449
0.020000,12.109864,9.849696,3.077728,7.403674,8.920089,0.000000,0.507183
0.020000,12.240379,9.923336,3.227585,7.582075,8.920089,-0.000000,0.520003
0.020000,12.373062,10.000370,3.381011,7.760477,8.920089,0.000000,0.531833
0.020000,12.507931,10.080726,3.538005,7.938879,8.920089,-0.000000,0.542599
0.020000,12.645020,10.164311,3.698566,8.117281,8.920089,0.000000,0.552228
0.020000,12.784379,10.251014,3.862696,8.295683,8.920089,0.000000,0.560645
