dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.200000,8.994000,0.000300,0.030000,1.500000,75.000000,0.001762
0.020000,9.200000,8.994000,0.001500,0.090000,3.000000,75.000000,0.001310
0.020000,9.200000,8.994000,0.004200,0.180000,4.500000,75.000000,0.000293
0.020000,9.204022,8.993997,0.009000,0.300000,6.000000,75.000000,6.281671
0.020000,9.211522,8.993975,0.016500,0.450000,7.500000,75.000000,6.278847
0.020000,9.222322,8.993906,0.027300,0.630000,9.000000,75.000000,6.274781
0.020000,9.236721,8.993746,0.041700,0.810000,9.000000,0.000000,6.269361
0.020000,9.254718,8.993436,0.059700,0.990000,9.000000,-0.000000,6.262589
0.020000,9.276312,8.992904,0.081300,1.170000,9.000000,0.000000,6.254470
0.020000,9.301497,8.992061,0.106500,1.350000,9.000000,0.000000,6.245012
0.020000,9.330270,8.990807,0.135300,1.530000,9.000000,0.000000,6.234225
0.020000,9.362620,8.989025,0.167700,1.710000,9.000000,-0.000000,6.222126
0.020000,9.398538,8.986588,0.203700,1.890000,9.000000,0.000000,6.208739
0.020000,9.438005,8.983353,0.243300,2.070000,9.000000,-0.000000,6.194096
0.020000,9.481001,8.979168,0.286500,2.250000,9.000000,0.000000,6.178238
0.020000,9.527500,8.973869,0.333300,2.430000,9.000000,0.000000,6.161220
0.020000,9.577467,8.967284,0.383700,2.610000,9.000000,-0.000000,6.143109
0.020000,9.630862,8.959232,0.437700,2.790000,9.000000,0.000000,6.123986
0.020000,9.687638,8.949530,0.495300,2.970000,9.000000,0.000000,6.103951
0.020000,9.747739,8.937991,0.556500,3.150000,9.000000,0.000000,6.083117
0.020000,9.811103,8.924428,0.621300,3.330000,9.000000,0.000000,6.061617
0.020000,9.877659,8.908659,0.689700,3.510000,9.000000,-0.000000,6.039598
0.020000,9.947332,8.890508,0.761700,3.690000,9.000000,0.000000,6.017226
0.020000,10.020042,8.869811,0.837300,3.870000,9.000000,0.000000,5.994677
0.020000,10.095706,8.846416,0.916500,4.050000,9.000000,-0.000000,5.972142
0.020000,10.174241,8.820189,0.999300,4.230000,9.000000,0.000000,5.949819
0.020000,10.255564,8.791015,1.085700,4.410000,9.000000,0.000000,5.927914
0.020000,10.339600,8.758803,1.175700,4.590000,9.000000,-0.000000,5.906635
0.020000,10.426280,8.723485,1.269300,4.770000,9.000000,0.000000,5.886190
0.020000,10.515544,8.685021,1.366500,4.950000,9.000000,-0.000000,5.866789
0.020000,10.607349,8.643401,1.467300,5.130000,9.000000,0.000000,5.848633
0.020000,10.701666,8.598643,1.571700,5.310000,9.000000,-0.000000,5.831925
0.020000,10.798488,8.550796,1.679700,5.490000,9.000000,0.000000,5.816862
0.020000,10.897827,8.499942,1.791300,5.670000,9.000000,-0.000000,5.803637
0.020000,10.999722,8.446200,1.906500,5.850000,9.000000,0.000000,5.792445
0.020000,11.104238,8.389720,2.025300,6.030000,9.000000,-0.000000,5.783481
0.020000,11.211465,8.330695,2.147700,6.210000,9.000000,0.000000,5.776948
0.020000,11.321528,8.269359,2.273700,6.390000,9.000000,0.000000,5.773059
0.020000,11.434580,8.205991,2.403300,6.570000,9.000000,0.000000,5.772040
0.020000,11.550806,8.140923,2.536500,6.750000,9.000000,-0.000000,5.774138
0.020000,11.670424,8.074549,2.673300,6.930000,9.000000,0.000000,5.779623
0.020000,11.793685,8.007327,2.813700,7.110000,9.000000,0.000000,5.788795
0.020000,11.920867,7.939796,2.957700,7.290000,9.000000,0.000000,5.801983
0.020000,12.052276,7.872587,3.105300,7.470000,9.000000,-0.000000,5.819544
0.020000,12.188232,7.806434,3.256500,7.650000,9.000000,-0.000000,5.841862
0.020000,12.329066,7.742188,3.411300,7.830000,9.000000,0.000000,5.869327
0.020000,12.475092,7.680832,3.569700,8.010000,9.000000,-0.000000,5.902316
0.020000,12.626590,7.623482,3.731700,8.190000,9.000000,0.000000,5.941147
0.020000,12.783769,7.571390,3.897300,8.370000,9.000000,0.000000,5.986027
0.020000,12.946726,7.525922,4.066500,8.550000,9.000000,-0.000000,6.036966
0.020000,13.115111,7.488575,4.239000,8.700000,7.500000,-75.000000,6.093598
0.020000,13.288070,7.460816,4.414200,8.820000,6.000000,-75.000000,6.155073
