dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.200000,8.994000,0.000300,0.030000,1.500000,75.000000,6.283132
0.020000,9.200000,8.994000,0.001500,0.090000,3.000000,75.000000,6.283141
0.020000,9.200000,8.994000,0.004200,0.180000,4.500000,75.000000,6.283162
0.020000,9.201829,8.994000,0.009000,0.300000,6.000000,75.000000,0.000014
0.020000,9.209329,8.994000,0.016500,0.450000,7.500000,75.000000,0.000073
0.020000,9.220129,8.994002,0.027300,0.630000,9.000000,75.000000,0.000156
0.020000,9.234529,8.994005,0.041700,0.810000,9.000000,0.000000,0.000267
0.020000,9.252529,8.994011,0.059700,0.990000,9.000000,-0.000000,0.000405
0.020000,9.274129,8.994021,0.081300,1.170000,9.000000,0.000000,0.000569
0.020000,9.299329,8.994038,0.106500,1.350000,9.000000,0.000000,0.000758
0.020000,9.328129,8.994063,0.135300,1.530000,9.000000,0.000000,0.000972
0.020000,9.360529,8.994098,0.167700,1.710000,9.000000,-0.000000,0.001210
0.020000,9.396529,8.994146,0.203700,1.890000,9.000000,0.000000,0.001470
0.020000,9.436129,8.994210,0.243300,2.070000,9.000000,-0.000000,0.001750
0.020000,9.479329,8.994292,0.286500,2.250000,9.000000,0.000000,0.002051
0.020000,9.526129,8.994396,0.333300,2.430000,9.000000,0.000000,0.002370
0.020000,9.576528,8.994524,0.383700,2.610000,9.000000,-0.000000,0.002705
0.020000,9.630528,8.994679,0.437700,2.790000,9.000000,0.000000,0.003055
0.020000,9.688128,8.994866,0.495300,2.970000,9.000000,0.000000,0.003418
0.020000,9.749328,8.995086,0.556500,3.150000,9.000000,0.000000,0.003792
0.020000,9.814127,8.995345,0.621300,3.330000,9.000000,0.000000,0.004174
0.020000,9.882526,8.995644,0.689700,3.510000,9.000000,-0.000000,0.004563
0.020000,9.954526,8.995986,0.761700,3.690000,9.000000,0.000000,0.004955
0.020000,10.030125,8.996376,0.837300,3.870000,9.000000,0.000000,0.005349
0.020000,10.109323,8.996815,0.916500,4.050000,9.000000,-0.000000,0.005742
0.020000,10.192122,8.997307,0.999300,4.230000,9.000000,0.000000,0.006131
0.020000,10.278520,8.997853,1.085700,4.410000,9.000000,0.000000,0.006513
0.020000,10.368518,8.998456,1.175700,4.590000,9.000000,-0.000000,0.006885
0.020000,10.462116,8.999118,1.269300,4.770000,9.000000,0.000000,0.007244
0.020000,10.559313,8.999839,1.366500,4.950000,9.000000,-0.000000,0.007586
0.020000,10.660110,9.000620,1.467300,5.130000,9.000000,0.000000,0.007909
0.020000,10.764507,9.001462,1.571700,5.310000,9.000000,-0.000000,0.008208
0.020000,10.872503,9.002363,1.679700,5.490000,9.000000,0.000000,0.008480
0.020000,10.984099,9.003323,1.791300,5.670000,9.000000,-0.000000,0.008721
0.020000,11.099294,9.004340,1.906500,5.850000,9.000000,0.000000,0.008927
0.020000,11.218089,9.005411,2.025300,6.030000,9.000000,-0.000000,0.009094
0.020000,11.340484,9.006532,2.147700,6.210000,9.000000,0.000000,0.009218
0.020000,11.466479,9.007699,2.273700,6.390000,9.000000,0.000000,0.009295
0.020000,11.596073,9.008906,2.403300,6.570000,9.000000,0.000000,0.009320
0.020000,11.729268,9.010146,2.536500,6.750000,9.000000,-0.000000,0.009289
0.020000,11.866062,9.011411,2.673300,6.930000,9.000000,0.000000,0.009196
0.020000,12.006456,9.012692,2.813700,7.110000,9.000000,0.000000,0.009038
0.020000,12.150450,9.013977,2.957700,7.290000,9.000000,0.000000,0.008808
0.020000,12.298045,9.015256,3.105300,7.470000,9.000000,-0.000000,0.008503
0.020000,12.449239,9.016513,3.256500,7.650000,9.000000,-0.000000,0.008117
0.020000,12.604035,9.017734,3.411300,7.830000,9.000000,0.000000,0.007644
0.020000,12.762430,9.018901,3.569700,8.010000,9.000000,-0.000000,0.007079
0.020000,12.924427,9.019996,3.731700,8.190000,9.000000,0.000000,0.006417
0.020000,13.090023,9.020996,3.897300,8.370000,9.000000,0.000000,0.005652
0.020000,13.259221,9.021880,4.066500,8.550000,9.000000,-0.000000,0.004777
0.020000,13.431720,9.022620,4.239000,8.700000,7.500000,-75.000000,0.003790
0.020000,13.606919,9.023189,4.414200,8.820000,6.000000,-75.000000,0.002687
0.020000,13.784218,9.023559,4.591500,8.910000,4.500000,-75.000000,0.001469
0.020000,13.963018,9.023704,4.770300,8.970000,3.000000,-75.000000,0.000138
0.020000,14.142718,9.023601,4.950000,9.000000,1.500000,-75.000000,6.281879
0.020000,14.322718,9.023228,5.130000,9.000000,0.000000,-75.000000,6.280328
0.020000,14.502716,9.022566,5.310000,9.000000,0.000000,0.000000,6.278670
0.020000,14.682714,9.021596,5.490000,9.000000,0.000000,0.000000,6.276907
0.020000,14.862709,9.020299,5.670000,9.000000,0.000000,0.000000,6.275039
0.020000,15.042702,9.018657,5.850000,9.000000,0.000000,0.000000,6.273064
0.020000,15.222690,9.016649,6.030000,9.000000,0.000000,0.000000,6.270985
0.020000,15.402674,9.014258,6.210000,9.000000,0.000000,0.000000,6.268799
0.020000,15.582653,9.011464,6.390000,9.000000,0.000000,0.000000,6.266509
0.020000,15.762624,9.008249,6.570000,9.000000,0.000000,0.000000,6.264113
0.020000,15.942587,9.004592,6.750000,9.000000,0.000000,0.000000,6.261611
0.020000,16.122540,9.000476,6.930000,9.000000,0.000000,0.000000,6.259005
0.020000,16.302481,8.995882,7.110000,9.000000,0.000000,0.000000,6.256293
0.020000,16.478737,8.990749,7.290000,9.000000,0.000000,0.000000,6.250819
0.020000,16.658622,8.984322,7.470000,9.000000,0.000000,0.000000,6.244305
0.020000,16.838465,8.976820,7.650000,9.000000,0.000000,0.000000,6.238871
0.020000,17.018270,8.968439,7.830000,9.000000,0.000000,0.000000,6.234514
0.020000,17.198041,8.959370,8.010000,9.000000,0.000000,0.000000,6.231236
0.020000,17.377787,8.949810,8.190000,9.000000,0.000000,0.000000,6.229035
0.020000,17.557517,8.939951,8.370000,9.000000,0.000000,0.000000,6.227912
0.020000,17.737241,8.929986,8.550000,9.000000,0.000000,0.000000,6.227865
0.020000,17.916970,8.920110,8.730000,9.000000,0.000000,0.000000,6.228896
0.020000,18.096714,8.910516,8.910000,9.000000,0.000000,0.000000,6.231003
0.020000,18.276483,8.901398,9.090000,9.000000,0.000000,0.000000,6.234188
0.020000,18.456284,8.892949,9.270000,9.000000,0.000000,0.000000,6.238451
0.020000,18.636124,8.885363,9.450000,9.000000,0.000000,0.000000,6.243793
0.020000,18.816005,8.878836,9.630000,9.000000,0.000000,0.000000,6.250213
0.020000,18.995928,8.873560,9.810000,9.000000,0.000000,0.000000,6.257711
0.020000,19.175886,8.869731,9.990000,9.000000,0.000000,0.000000,6.266286
0.020000,19.355846,8.867541,10.169974,8.997366,-0.131685,-6.584270,6.275933
0.020000,19.535466,8.867183,10.349595,8.964733,-1.631685,-75.000000,0.003441
0.020000,19.714126,8.868826,10.528263,8.902099,-3.131685,-75.000000,0.015127
0.020000,19.891200,8.872607,10.705379,8.809465,-4.631685,-75.000000,0.027734
0.020000,20.064249,8.878424,10.880342,8.686831,-6.131685,-75.000000,0.031839
0.020000,20.236438,8.880416,11.052552,8.534198,-7.631685,-75.000000,6.277018
0.020000,20.405289,8.877263,11.221436,8.354198,-9.000000,-68.415730,6.254413
0.020000,20.570476,8.871638,11.386720,8.174198,-9.000000,-0.000000,6.246149
0.020000,20.732058,8.865886,11.548404,7.994198,-9.000000,0.000000,6.251230
0.020000,20.890093,8.862062,11.706488,7.814198,-9.000000,0.000000,6.268845
0.020000,21.044572,8.861965,11.860972,7.634198,-9.000000,-0.000000,0.015113
0.020000,21.195356,8.867158,12.011856,7.454198,-9.000000,0.000000,0.055688
0.020000,21.342151,8.878952,12.159140,7.274198,-9.000000,-0.000000,0.106468
