dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.357117,9.805844,0.003571,0.142857,2.857143,57.142857,6.223027
0.050000,0.369262,9.805094,0.017857,0.428571,5.714286,57.142857,6.220510
0.050000,0.401336,9.802991,0.050000,0.857143,8.571429,57.142857,6.214887
0.050000,0.454765,9.799087,0.103571,1.285714,8.571429,0.000000,6.205645
0.050000,0.529501,9.792802,0.178571,1.714286,8.571429,-0.000000,6.192985
0.050000,0.625464,9.783354,0.275000,2.142857,8.571429,0.000000,6.177202
0.050000,0.742537,9.769795,0.392857,2.571429,8.571429,0.000000,6.158695
0.050000,0.880554,9.751055,0.532143,3.000000,8.571429,-0.000000,6.137978
0.050000,1.039300,9.726005,0.692857,3.428571,8.571429,0.000000,6.115679
0.050000,1.218521,9.693529,0.875000,3.857143,8.571429,0.000000,6.092549
0.050000,1.417931,9.652602,1.078571,4.285714,8.571429,-0.000000,6.069445
0.050000,1.637250,9.602382,1.303571,4.714286,8.571429,0.000000,6.047323
0.050000,1.876239,9.542306,1.550000,5.142857,8.571429,0.000000,6.027221
0.050000,2.134752,9.472185,1.817857,5.571429,8.571429,-0.000000,6.010247
0.050000,2.409362,9.393312,2.103571,5.857143,5.714286,-57.142857,5.997696
0.050000,2.693454,9.308689,2.400000,6.000000,2.857143,-57.142857,5.990683
0.050000,2.980628,9.221906,2.700000,6.000000,0.000000,-57.142857,5.989780
0.050000,3.267992,9.135757,3.000000,6.000000,0.000000,0.000000,5.995103
0.050000,3.556072,9.052039,3.300000,6.000000,0.000000,0.000000,6.006681
0.050000,3.845352,8.972574,3.600000,6.000000,0.000000,0.000000,6.024569
0.050000,4.136238,8.899220,3.900000,6.000000,0.000000,0.000000,6.048822
0.050000,4.429024,8.833879,4.200000,6.000000,0.000000,0.000000,6.079466
0.050000,4.723847,8.778477,4.500000,6.000000,0.000000,0.000000,6.116450
0.050000,5.020646,8.734934,4.800000,6.000000,0.000000,0.000000,6.159581
0.050000,5.319129,8.705101,5.100000,6.000000,0.000000,0.000000,6.208471
0.050000,5.618746,8.690678,5.400000,6.000000,0.000000,0.000000,6.262482
0.050000,5.914452,8.692962,5.700000,6.000000,0.000000,0.000000,0.037331
0.050000,6.213701,8.713511,6.000000,6.000000,0.000000,0.000000,0.098356
0.050000,6.511323,8.750939,6.300000,6.000000,0.000000,0.000000,0.150248
0.050000,6.806869,8.802313,6.600000,6.000000,0.000000,0.000000,0.192298
0.050000,7.100321,8.864588,6.900000,6.000000,0.000000,0.000000,0.224236
0.050000,7.392001,8.934727,7.200000,6.000000,0.000000,0.000000,0.246048
0.050000,7.682180,9.009675,7.499704,5.988166,-0.236684,-4.733685,0.257810
0.050000,7.967823,9.085523,7.795245,5.833474,-3.093827,-57.142857,0.259668
0.050000,8.242740,9.157701,8.079480,5.535926,-5.950970,-57.142857,0.252345
0.050000,8.500841,9.222372,8.345562,5.107355,-8.571429,-52.409172,0.237353
0.050000,8.739185,9.277556,8.590216,4.678783,-8.571429,0.000000,0.216568
0.050000,8.957748,9.322911,8.813440,4.250212,-8.571429,0.000000,0.191719
0.050000,9.156333,9.358730,9.015237,3.821640,-8.571429,-0.000000,0.164431
0.050000,9.334653,9.385794,9.195605,3.393069,-8.571429,0.000000,0.136216
0.050000,9.492395,9.405223,9.354544,2.964497,-8.571429,-0.000000,0.108437
0.050000,9.629275,9.418337,9.492054,2.535926,-8.571429,0.000000,0.082284
0.050000,9.745065,9.426529,9.608136,2.107355,-8.571429,-0.000000,0.058749
0.050000,9.839604,9.431142,9.702790,1.678783,-8.571429,0.000000,0.038626
0.050000,9.912794,9.433383,9.776015,1.250212,-8.571429,-0.000000,0.022516
0.050000,9.964582,9.434248,9.827811,0.821640,-8.571429,0.000000,0.010850
0.050000,9.995245,9.434473,9.858474,0.404903,-8.334744,4.733685,0.003841
0.050000,10.008643,9.434504,9.871873,0.131023,-5.477601,57.142857,0.000756
0.050000,10.011919,9.434505,9.875148,0.000000,-2.620459,57.142857,0.000000
0.050000,10.011919,9.434505,9.875148,0.000000,0.000000,52.409172,0.000000
